logFC	logCPM	LR	PValue	FDR
AK145144	4.02919071470971	0.326598425247418	30.5123061767231	3.31755385655685e-08	1.45981688660009e-06
Gm4432	3.93732876016433	1.01247988574389	38.6804818181594	4.99175796700042e-10	4.29647739302536e-08
BC147413	3.93642862969284	2.01088606380477	42.5985100133716	6.72105630116798e-11	8.09887284290742e-09
AK052627	3.92033590547079	1.43736189742983	49.1541500668087	2.36617228909356e-12	4.3607163421942e-10
Cyp1a1	3.88625351723746	6.0998081050697	14.7237567313639	0.000124468032832073	0.00124428317441891
Xntrpc	3.8810262564848	0.601009194044889	36.1231054498358	1.85237416669811e-09	1.29542148755919e-07
AK033411	3.86680434555754	1.15573227289455	45.3469121944764	1.65048013793567e-11	2.50730580187709e-09
Xist	3.82712184552543	9.80832020365938	90.916204448153	1.49887125199159e-21	2.93497727030604e-18
Foxn4	-3.82135985948968	0.442084069810683	37.9058944369455	7.42405961220716e-10	6.120941780275e-08
AK031532	3.80996840922704	3.24866739706745	34.9765750393159	3.33695760815203e-09	2.133609833947e-07
AK015545	3.8091457989873	2.94237566413433	34.2583258885757	4.82606315240577e-09	2.82090594337449e-07
Ear12	-3.80334903938477	1.06208894386749	41.3001833669733	1.30556644705462e-10	1.45047506334118e-08
Apod	3.79682707567087	6.05469352499099	123.270556179903	1.21673181604492e-28	6.35336796611455e-25
Rps27rt	3.78933565732443	0.887380227086366	34.921864352189	3.43205119131772e-09	2.18549113463383e-07
AK079994	3.7589902704398	0.804474530081703	32.3363994498125	1.29661565374806e-08	6.6377399398573e-07
Rab40b	-3.73902885543823	0.624311463659018	35.5300851893383	2.51141553551212e-09	1.68846885681533e-07
AK050228	3.73693844811047	1.27306185036264	44.5794185802917	2.44245758852828e-11	3.41616947538352e-09
DXBay18	-3.73467777380117	1.02662940164157	50.8764617893016	9.83661558112696e-13	2.05454110771138e-10
AK042046	3.70834145693697	2.37070638148847	37.6000164188033	8.6843749797549e-10	6.90562101816551e-08
AK157346	3.69282115010891	1.74887552489435	59.8263645083319	1.03606129614705e-14	3.68861368275988e-12
AK038238	3.6901555314537	1.9894618491984	26.6404260933942	2.45062101429445e-07	7.88274706138042e-06
BC021503	3.64639259502625	2.38679840669718	27.4349224126773	1.62470631913557e-07	5.53203989024042e-06
AK172081	3.62460929559987	2.16498536071717	34.003967821286	5.49998000899026e-09	3.09917938276375e-07
AK157755	3.61506334694793	2.27006543864603	34.5068122840681	4.24762123933731e-09	2.52999949483723e-07
9430091E24Rik	3.55790915916749	0.97073519375594	34.3045048923131	4.71289591362119e-09	2.77547046943142e-07
AK028711	-3.54577435482654	0.488790958485085	35.6262298390092	2.39047023860273e-09	1.62811809946573e-07
Gm5640	-3.51907780683443	1.56539008137981	48.3210970949005	3.61838298261984e-12	6.5151688991655e-10
AK087549	3.51068946807878	1.58075421270527	35.0077040462802	3.28403415516521e-09	2.10837684592881e-07
Wdr63	3.50200501359521	1.97409285720056	38.7342735616342	4.8560696879749e-10	4.22612953678482e-08
Hottip	-3.44934014437227	0.930668070367798	24.3721087802922	7.94101156196891e-07	2.15217899858552e-05
Gdap10	3.43527997928168	3.19600432497428	44.0727450918508	3.16395880443106e-11	4.23618928815492e-09
H2-K2	3.432702997888	2.78112645649795	57.0030615927936	4.35133966019177e-14	1.21720956744471e-11
AK163846	3.42369384124575	1.29530081250559	29.0595600455503	7.01868879666312e-08	2.71562575285193e-06
AK158301	3.42049133418347	2.38079526502845	23.2787655619103	1.40138687142508e-06	3.41410969531476e-05
9030404E10Rik	3.40493165317254	0.580192065389748	28.2540245230521	1.06393192977343e-07	3.85798464812517e-06
Ifit1bl1	3.40403222563417	5.61033078199728	68.6039537266203	1.20362552480166e-16	6.73385494500646e-14
Zfp600	-3.3981462502872	0.763918039909492	32.4488207562719	1.22373190901715e-08	6.34760276647474e-07
AK043676	3.39486205693248	2.78557219552565	55.5961558726873	8.89974948060246e-14	2.32357626022729e-11
Arx	-3.38682698710213	0.907587441940838	32.02969047316	1.51834170307239e-08	7.62334063417594e-07
Shc2	-3.377696948955	1.71769519617115	44.9857497291796	1.98473522797052e-11	2.8787849394591e-09
4930581F22Rik	3.37153803272262	0.509122233565558	24.6159729838216	6.99693587277529e-07	1.95030249905738e-05
Bhlha9	-3.36650191264485	0.721758559658873	29.9070726542169	4.53256448049312e-08	1.85870739756347e-06
