Gene	MCL_Clustering
GAS1	20
EVC2	20
VIM	169
TOR1A	21
OST4	22
UQCR11	66
COL4A4	125
USP6NL	55
NTN4	147
SZT2	23
PER3	24
NFIL3	24
STMN1	76
NT5C3A	27
NT5C3B	27
UCKL1	26
TUBGCP2	76
SASS6	76
IFIT5	150
GIGYF2	151
SPTBN2	158
RASAL2	102
KIF18B	143
MLKL	29
GSTM4	30
MGST2	30
METTL7A	30
ADAMTS9	31
CYS1	32
FBN2	147
PVR	33
SCYL2	34
MARK2	35
SLC3A2	36
NAA10	37
TMED5	158
TCF12	39
SNIP1	39
CITED2	39
TLE3	39
OGT	40
PRDX4	30
RYBP	67
RDX	117
LDLR	55
PLCD1	188
DDX60	133
NLRX1	133
CHMP2A	42
MAPRE2	4
BAZ2A	168
FLRT3	43
IL11RA	44
DENND4B	68
VPS11	45
TLR6	46
PLXNA2	47
AKAP8	76
IVD	115
VDAC3	92
PELI1	48
MDH1	51
NR4A1	52
ARHGEF38	162
ERRFI1	55
MUC1	193
POFUT1	56
CDC42EP3	57
SFTPB	173
PCBD1	58
BAG2	59
BAG5	59
CHD7	60
DNAJC11	62
RYR2	63
NFKBID	10
PARP14	122
IL15RA	124
CPE	65
SUCLG1	131
NR4A3	67
PPCDC	69
UPF1	171
GPCPD1	70
CRYZ	121
POR	121
KRT80	72
LARP7	73
PIGO	74
FBXO38	75
PKIA	76
PDE4B	76
LIG4	76
ANKLE2	77
LGALS9	78
XDH	79
ATXN2L	203
PAIP2	80
LARP4B	80
INTU	81
UGCG	205
IFNL1	150
CLK1	84
TOMM5	139
PPM1K	86
BCKDK	86
BCL7C	90
ANP32E	88
ZCCHC8	15
ZNF14	90
LEPR	94
PTGS1	207
CENPB	25
PIM1	98
CTSB	101
PDE4DIP	208
ETFA	209
TAPBP	103
NEGR1	105
RBM15	109
SUN2	140
ASRGL1	117
NEDD9	118
GLYCTK	120
ECI2	18
HS6ST2	46
NIN	76
SRM	127
DNAH17	130
EPHX1	132
USP25	133
SEPHS2	137
AMOTL2	138
HYOU1	142
PPIA	146
TLN2	147
GAMT	148
AADAT	157
MME	160
ARHGEF28	162
CLDN2	164
ZNF274	56
ATXN7	167
